date,a_instance_count,a_cpu_usage,a_mem_usage,b_instance_count,b_cpu_usage,b_mem_usage,c_instance_count,c_cpu_usage,c_mem_usage,d_instance_count,d_cpu_usage,d_mem_usage,e_instance_count,e_cpu_usage,e_mem_usage,f_instance_count,f_cpu_usage,f_mem_usage,g_instance_count,g_cpu_usage,g_mem_usage,h_instance_count,h_cpu_usage,h_mem_usage
2019-05-01 00:00:00,582935.8222,3509.799733,2732.961213,581283.5389,5011.629699,4564.628836,425686.3833,4331.754634,2864.576881,554774.9389,3388.449051,3088.725194,466083.0167,4380.336089,2696.912715,834525.1611,6630.002896,4118.70476,696329.4611,6586.697916,3713.991881,495610.7222,5148.445567,3178.108996
2019-05-01 00:03:00,582856.3,3475.201956,2715.364386,584160.6556,5026.080256,4569.343157,415876.2111,4308.516709,2785.899637,546780.1333,3354.916051,3074.802264,488427.9444,4438.757296,2712.883731,818895.3389,6667.082645,4104.257832,696484.2944,6585.291252,3704.656093,491656.1722,5173.739139,3170.929354
2019-05-01 00:06:00,582890.4889,3456.541733,2704.107211,598609.3556,5035.009746,4585.766594,417147.85,4324.353767,2752.964847,532804.2222,3299.377097,3065.917256,472751.0222,4458.604778,2690.945994,812956.0389,6722.58691,4106.662832,695211.2111,6508.708029,3688.409446,492028.0833,5232.799243,3171.712221
2019-05-01 00:09:00,584416.2889,3666.533301,2724.32607,611754.5111,5123.353632,4621.567879,421727.9056,4332.430899,2803.958947,533776.9333,3277.550793,3085.600048,464450.3667,4480.575434,2704.162907,817973.2333,6547.542116,4134.71722,678493.4167,6454.222488,3648.183386,501544.1556,5229.02056,3186.21443
2019-05-01 00:12:00,585400.3222,3768.263038,2739.191041,609989.2167,5162.843026,4644.579537,421122.1,4321.333236,2833.955465,534441.3944,3261.476972,3089.705497,470630.3278,4539.200825,2723.987538,814075.6222,6466.542109,4143.795828,673816.0167,6423.734997,3633.123206,497477.5667,5204.092502,3183.245173
2019-05-01 00:15:00,584219.4556,3984.573691,2796.274285,607163.9944,5269.183143,4688.418504,419297.1444,4020.884126,2854.541039,531439.4333,3265.376294,3091.364479,488933.85,4533.846386,2757.46628,810516.4778,6533.609645,4166.165822,658908.9222,6389.58882,3584.086058,484785.1111,5187.203096,3172.183146
2019-05-01 00:18:00,583308.1,3976.124157,2793.216987,609564.1667,5260.160544,4694.847639,416678.0278,3946.152299,2789.879741,530842.0889,3259.074189,3082.554819,483749.6111,4541.27062,2761.183121,819814.8944,6633.773941,4172.221129,668890.5056,6430.937807,3585.128148,496493.0278,5234.632063,3193.438155
2019-05-01 00:21:00,582511.3889,4026.099173,2821.120943,610326.3278,5257.405359,4712.785152,411832.2444,3903.152184,2785.655078,527588.9167,3250.527676,3080.493007,485529.5611,4573.88766,2778.793674,837196.2278,6749.256271,4193.331082,681290.2556,6440.073096,3583.024078,506324.3611,5270.486948,3221.028685
2019-05-01 00:24:00,581748.5056,3994.718866,2805.391008,604639.1222,5200.819082,4701.394038,411216.1611,3763.875137,2775.802029,527528.9167,3205.494423,3081.916613,489215.9667,4657.06436,2786.901285,828216.25,6756.067686,4175.808243,671581.2056,6427.669726,3543.620319,504776.2278,5271.341628,3238.645187
2019-05-01 00:27:00,581268.8278,3965.751911,2786.42625,602855.5611,5166.424204,4695.335979,411983.4778,3708.303021,2771.55045,530500.85,3190.121677,3084.432368,507278.9167,4728.587025,2807.213499,827482.9611,6850.74048,4173.294417,669147.2444,6426.608954,3528.684899,500644.4111,5271.508727,3244.660721
2019-05-01 00:30:00,583768.7556,3880.668133,2758.063705,601098.5333,5023.89885,4669.787853,414127.8167,3890.07918,2777.737926,542836.3778,3367.173348,3116.22225,515207.9278,4661.966534,2807.061677,840668.7167,6815.637305,4157.681675,672731.6667,6416.064697,3482.942117,496508.8722,5405.330818,3279.515066
2019-05-01 00:33:00,584079.4111,3822.469233,2743.277973,596107.9556,4963.986123,4663.186213,417441.2833,3875.274089,2784.810565,549511.2722,3347.79071,3115.787501,499103.4167,4690.450386,2798.523326,822478.2444,6744.562263,4134.339347,666597.7111,6418.588206,3473.132526,503507.6167,5377.201917,3295.505364
2019-05-01 00:36:00,584506.0611,3733.451271,2739.443848,588242.2944,4854.618527,4611.872582,420109.4778,3806.581748,2792.200847,545461.0111,3275.737303,3107.275749,496447.2111,4697.956102,2803.469761,809004.5611,6618.167837,4111.853261,677940.3389,6447.208113,3476.159173,501564.4111,5285.218959,3307.682179
2019-05-01 00:39:00,584164.0889,3601.36678,2729.251921,593261.9889,4834.99077,4575.812616,422848.6389,3744.623195,2814.558892,543048.8889,3255.864818,3104.581429,516346.1444,4689.582733,2824.083872,810655.4222,6756.1757,4101.769641,688161.2722,6391.243479,3459.50035,489335.2111,5385.186626,3298.229479
2019-05-01 00:42:00,582650.9889,3504.390512,2708.745769,594206.5667,4792.541467,4569.15742,427257.3944,3787.923858,2854.498146,547150.9944,3264.187048,3109.031903,514894.8056,4665.341412,2825.533847,844210.2111,6944.883486,4132.405841,676520.4111,6335.524417,3443.254562,489268.8556,5454.046068,3295.71314
2019-05-01 00:45:00,582375.2556,3287.851695,2679.247949,591101.8,4599.430292,4544.236245,437467.5611,3848.959217,2930.822673,551462.0222,3293.039915,3126.31189,502727.6611,4647.438817,2824.475005,873835.2944,6757.498249,4129.507173,656653.1389,6233.878731,3406.607604,499451.0111,5346.852952,3294.86096
2019-05-01 00:48:00,581492.8167,3226.826618,2657.509041,592165.4,4639.15177,4535.481293,438561.2889,3856.905045,2934.340235,549660.0167,3292.126755,3118.783645,499458.5778,4704.823455,2819.031744,862232.8,6740.922261,4105.057394,643436.5111,6251.574966,3390.883818,490530.45,5311.288894,3275.922326
